x (m), Deflection y (m), Slope (rad), Moment (Nm), Shear (N)
2.530e+00,1.327e-03,9.462e-04,2.470e+03,-1.000e+03
2.540e+00,1.337e-03,9.487e-04,2.460e+03,-1.000e+03
2.550e+00,1.346e-03,9.512e-04,2.450e+03,-1.000e+03
2.560e+00,1.356e-03,9.536e-04,2.440e+03,-1.000e+03
2.570e+00,1.365e-03,9.560e-04,2.430e+03,-1.000e+03
2.580e+00,1.375e-03,9.585e-04,2.420e+03,-1.000e+03
2.590e+00,1.384e-03,9.609e-04,2.410e+03,-1.000e+03
2.600e+00,1.394e-03,9.633e-04,2.400e+03,-1.000e+03
2.610e+00,1.404e-03,9.657e-04,2.390e+03,-1.000e+03
2.620e+00,1.413e-03,9.681e-04,2.380e+03,-1.000e+03
2.630e+00,1.423e-03,9.705e-04,2.370e+03,-1.000e+03
2.640e+00,1.433e-03,9.728e-04,2.360e+03,-1.000e+03
2.650e+00,1.442e-03,9.752e-04,2.350e+03,-1.000e+03
2.660e+00,1.452e-03,9.775e-04,2.340e+03,-1.000e+03
2.670e+00,1.462e-03,9.799e-04,2.330e+03,-1.000e+03
2.680e+00,1.472e-03,9.822e-04,2.320e+03,-1.000e+03
2.690e+00,1.481e-03,9.845e-04,2.310e+03,-1.000e+03
2.700e+00,1.491e-03,9.869e-04,2.300e+03,-1.000e+03
2.710e+00,1.501e-03,9.892e-04,2.290e+03,-1.000e+03
2.720e+00,1.511e-03,9.914e-04,2.280e+03,-1.000e+03
2.730e+00,1.521e-03,9.937e-04,2.270e+03,-1.000e+03
2.740e+00,1.531e-03,9.960e-04,2.260e+03,-1.000e+03
2.750e+00,1.541e-03,9.983e-04,2.250e+03,-1.000e+03
2.760e+00,1.551e-03,1.001e-03,2.240e+03,-1.000e+03
2.770e+00,1.561e-03,1.003e-03,2.230e+03,-1.000e+03
2.780e+00,1.571e-03,1.005e-03,2.220e+03,-1.000e+03
2.790e+00,1.581e-03,1.007e-03,2.210e+03,-1.000e+03
2.800e+00,1.591e-03,1.009e-03,2.200e+03,-1.000e+03
2.810e+00,1.601e-03,1.012e-03,2.190e+03,-1.000e+03
2.820e+00,1.611e-03,1.014e-03,2.180e+03,-1.000e+03
2.830e+00,1.621e-03,1.016e-03,2.170e+03,-1.000e+03
2.840e+00,1.632e-03,1.018e-03,2.160e+03,-1.000e+03
2.850e+00,1.642e-03,1.020e-03,2.150e+03,-1.000e+03
2.860e+00,1.652e-03,1.022e-03,2.140e+03,-1.000e+03
2.870e+00,1.662e-03,1.025e-03,2.130e+03,-1.000e+03
2.880e+00,1.672e-03,1.027e-03,2.120e+03,-1.000e+03
2.890e+00,1.683e-03,1.029e-03,2.110e+03,-1.000e+03
2.900e+00,1.693e-03,1.031e-03,2.100e+03,-1.000e+03
2.910e+00,1.703e-03,1.033e-03,2.090e+03,-1.000e+03
2.920e+00,1.714e-03,1.035e-03,2.080e+03,-1.000e+03
2.930e+00,1.724e-03,1.037e-03,2.070e+03,-1.000e+03
2.940e+00,1.734e-03,1.039e-03,2.060e+03,-1.000e+03
2.950e+00,1.745e-03,1.041e-03,2.050e+03,-1.000e+03
2.960e+00,1.755e-03,1.043e-03,2.040e+03,-1.000e+03
2.970e+00,1.766e-03,1.045e-03,2.030e+03,-1.000e+03
2.980e+00,1.776e-03,1.047e-03,2.020e+03,-1.000e+03
2.990e+00,1.786e-03,1.049e-03,2.010e+03,-1.000e+03
3.000e+00,1.797e-03,1.052e-03,2.000e+03,-1.000e+03
3.010e+00,1.808e-03,1.054e-03,1.990e+03,-1.000e+03
3.020e+00,1.818e-03,1.055e-03,1.980e+03,-1.000e+03
